Respondent ID,Collector ID,Start Date,End Date,In silico medicine - Not at all aware,In silico medicine - Slightly aware,In silico medicine - Moderately aware,In silico medicine - Very aware,In silico medicine - Extremely aware,Patient-specific modelling - Not at all aware,Patient-specific modelling - Slightly aware,Patient-specific modelling - Moderately aware,Patient-specific modelling - Very aware,Patient-specific modelling - Extremely aware,In silico clinical trials - Not at all aware,In silico clinical trials - Slightly aware,In silico clinical trials - Moderately aware,In silico clinical trials - Very aware,In silico clinical trials - Extremely aware,Virtual Physiological Human - Not at all aware,Virtual Physiological Human - Slightly aware,Virtual Physiological Human - Moderately aware,Virtual Physiological Human - Very aware,Virtual Physiological Human - Extremely aware,Personalized medicine - Not at all aware,Personalized medicine - Slightly aware,Personalized medicine - Moderately aware,Personalized medicine - Very aware,Personalized medicine - Extremely aware,Digital Twin - Not at all aware,Digital Twin - Slightly aware,Digital Twin - Moderately aware,Digital Twin - Very aware,Digital Twin - Extremely aware,Q2 Biomedical Engineering,Q2 Computer Science,Q2 Data Science,Q2 Statistics,Q2 Mathematics,Q2 Other,Q3 Finite Element Analysis awareness,Q3 Lumped-parameter models awareness,Q3 Computational Fluid Dynamics awareness,Q3 Fluid-structure interaction awareness,Q3 Multi-scale 1D-3D awareness,"Q3 Extended (e.g. Augmented, Virtual, Mixed) reality awareness",Q3 Artificial Intelligence/Machine Learning awareness,Q3 Statistical shape modelling awareness,Q4 Finite Element Analysis,Q4 Lumped-parameter models,Q4 Computational Fluid Dynamics,Q4 Fluid-structure Interaction,Q4 Multi-scale 1D-3D modelling,"Q4 Extended (e.g. Augmented, Virtual, Mixed) reality",Q4 Artificial Interlligence/Machine Learning,Q4 Statistical Shape Modelling,Q4 None,Q4 Other method applied,Q5 Team members for CMnS,Q6 clinical premises,Q7 role for CMnS in clinics,Q8 Agree statement 1,Q8 Agree statement 2,Q8 Agree statement 3,Q8 Agree statement 4,Q8 Agree statement 5,Q8 Agree statement 6,Q8 Agree statement 7,Q8 Agree statement 8,Q9 Enrich diagnosis,Q9 Plan interventions,Q9 Compare different therapeutic outcomes (retrospectively),Q9 Teach,Q9 Study Pathophysiology,Q9 Inform the patient on disease progress,Q9 Predict/compare therapeutic outcomes,Q9 None of the above,Q9 Other usage,Q10 use for planning,Q11 Cardiovascular,Q11 Musko-skeletal,Q11 Cancer,Q11 Neuro-degenerative,Q11 N/A,Q11 Other types of intervention,Q12 name procedure,Q13 how often,Q14 Trust scale,Q15 Successful post-hoc in silico clinical trials,Q15 Successful a priori in silico clinical trials,Q15 Personal positive experience,Q15 Regulatory approval,Q15 Other evidence,Q16 Demo medical specialty,Q17 Country,Q18 Current position,Q19 Age group,Q20 Articles,Q21 Grants,Q22 Funding,Q23 Collaboration Europe,Q23 Collaboration North America,Q23 Collaboration South America,Q23 Collaboration Africa,Q23 Collaboration Asia,Q23 Collaboration Oceania,Q24 Involvement in CT,Q25 CE marking
12783223626,394364328,30/06/2021 04:38,30/06/2021 04:40,Not at all aware,,,,,,Slightly aware,,,,Not at all aware,,,,,Not at all aware,,,,,,,,Very aware,,,Slightly aware,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Successful post-hoc in silico clinical trials,,,Regulatory approval,,,,,35-44,,,,,,,,,,,
12733008972,394364328,10/06/2021 21:31,10/06/2021 21:34,,Slightly aware,,,,,,Moderately aware,,,,Slightly aware,,,,,,Moderately aware,,,,Slightly aware,,,,Not at all aware,,,,,Biomedical Engineering,Computer Science,Data Science,Statistics,,,Very familiar,Not at all familiar,Slightly familiar,Slightly familiar,Not at all familiar,Not at all familiar,Moderately familiar,Moderately familiar,Finite Element Analysis,,,,,,Artificial Interlligence/Machine Learning,,,,Yes,No,Probably yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12643213274,394364328,10/05/2021 07:14,10/05/2021 07:23,,,,Very aware,,,,,Very aware,,,,,Very aware,,,,,Very aware,,,,,Very aware,,,,Moderately aware,,,Biomedical Engineering,Computer Science,,,,,Slightly familiar,Extremely familiar,Slightly familiar,Slightly familiar,Slightly familiar,Slightly familiar,Slightly familiar,Not at all familiar,Finite Element Analysis,Lumped-parameter models,Computational Fluid Dynamics,,Multi-scale (1D-3D) modelling,,,,,,Yes,No,Definitely yes,Agree,Agree,Agree,Neutral,Strongly disagree,Agree,Strongly disagree,Neutral,,,,,Study Pathophysiology,,Predict/compare therapeutic outcomes,,Device design,No,Cardiovascular,,,,,,,,9,,Successful a priori in silico clinical trials,Personal positive experience,Regulatory approval,,N/A,Germany,Manager R&D,45-54,5,01-May,2 M?,Europe,,,,,,No,Yes
12510942266,394364328,22/03/2021 07:47,22/03/2021 07:57,,Slightly aware,,,,Not at all aware,,,,,,Slightly aware,,,,Not at all aware,,,,,Not at all aware,,,,,Not at all aware,,,,,,,,,,medicine,Slightly familiar,Not at all familiar,Not at all familiar,Not at all familiar,Not at all familiar,Slightly familiar,Slightly familiar,Not at all familiar,Finite Element Analysis,,,,Multi-scale (1D-3D) modelling,,,,,,Yes,No,Not sure,Neutral,Agree,Neutral,Strongly disagree,Disagree,Strongly disagree,Disagree,Agree,,,,,,,,None of the above,,Yes,,Musko-skeletal,,,,,,Less than 5,3,,,Personal positive experience,,,Imaging,SPAIN,DOCTOR,45-54,10,None,,Europe,,,,,,No,No
12509336183,394364328,21/03/2021 09:09,21/03/2021 09:21,,,,Very aware,,,,,Very aware,,,,,Very aware,,,Slightly aware,,,,,,,,Extremely aware,,,,,Extremely aware,Biomedical Engineering,Computer Science,Data Science,Statistics,,,Very familiar,Slightly familiar,Extremely familiar,Very familiar,Moderately familiar,Extremely familiar,Extremely familiar,Moderately familiar,Finite Element Analysis,Lumped-parameter models,Computational Fluid Dynamics,Fluid-structure Interaction,Multi-scale (1D-3D) modelling,"Extended (e.g. Augmented, Virtual, Mixed) reality",Artificial Interlligence/Machine Learning,,,,Yes,Yes,Definitely yes,Agree,Neutral,Neutral,Agree,Strongly agree,Agree,Strongly disagree,Neutral,,,Compare different therapeutic outcomes (retrospectively),Teach,Study Pathophysiology,Inform the patient on disease progress,Predict/compare therapeutic outcomes,,,Yes,Cardiovascular,,,,,,ECMO VAD,11-20 times,10,Successful post-hoc in silico clinical trials,,Personal positive experience,Regulatory approval,,Anaesthetics,Italy,anesthesiologist in Intensive Care,45-54,15,None,,Europe,,,,,,No,No
12505277115,394364328,19/03/2021 11:18,19/03/2021 11:25,,Slightly aware,,,,,Slightly aware,,,,,Slightly aware,,,,Not at all aware,,,,,,,Moderately aware,,,,Slightly aware,,,,,,,Statistics,,,Not at all familiar,Not at all familiar,Not at all familiar,Not at all familiar,Not at all familiar,Not at all familiar,Slightly familiar,Not at all familiar,,,,,,,Artificial Interlligence/Machine Learning,,,,No,N/A,Probably yes,Agree,Neutral,Disagree,Agree,Strongly disagree,Disagree,Disagree,Neutral,,,,,,,,None of the above,,No,,,,,N/A,,,,5,,,Personal positive experience,,,Other,Finland,Professor,55-64,250,None,0,Europe,,,,,,Yes,No
12504814352,394364328,19/03/2021 07:28,19/03/2021 07:34,,,,Very aware,,,,,,Extremely aware,,,,Very aware,,,,Moderately aware,,,,,Moderately aware,,,,,Moderately aware,,,Biomedical Engineering,,Data Science,,,,Extremely familiar,Moderately familiar,Very familiar,Moderately familiar,Moderately familiar,Moderately familiar,Extremely familiar,Very familiar,Finite Element Analysis,,Computational Fluid Dynamics,,,,Artificial Interlligence/Machine Learning,,,,Yes,Yes,Probably yes,Agree,Agree,Strongly agree,Neutral,Disagree,Disagree,Neutral,Neutral,,,Compare different therapeutic outcomes (retrospectively),,,,Predict/compare therapeutic outcomes,,test innovative devices and procedures (not yet used clinically),No,,,,,,,,,7,Successful post-hoc in silico clinical trials,Successful a priori in silico clinical trials,Personal positive experience,Regulatory approval,,N/A,Italy,Research group leader,35-44,130,01-May,400000 euro,Europe,North America,,,,,Yes,Yes
12504768426,394364328,19/03/2021 06:58,19/03/2021 07:07,,,Moderately aware,,,,,Moderately aware,,,,Slightly aware,,,,,,Moderately aware,,,,,,Very aware,,,,Moderately aware,,,,,,,,Rheumatologists,Moderately familiar,Slightly familiar,Slightly familiar,Slightly familiar,Slightly familiar,Very familiar,Very familiar,Moderately familiar,,,,,,"Extended (e.g. Augmented, Virtual, Mixed) reality",Artificial Interlligence/Machine Learning,,,,No,N/A,Definitely yes,Agree,Agree,Neutral,Neutral,Strongly disagree,Neutral,Disagree,Neutral,,,,,,,,None of the above,,No,,,,,N/A,,,Less than 5,2,,Successful a priori in silico clinical trials,,,,Rheumatology,Spain,Consultant,25-34,8,None,,,,,,,,No,No
12500161093,394364328,17/03/2021 19:56,17/03/2021 20:05,Not at all aware,,,,,,,Moderately aware,,,,Slightly aware,,,,,Slightly aware,,,,,,Moderately aware,,,,Slightly aware,,,,,,Data Science,Statistics,,,Not at all familiar,Not at all familiar,Slightly familiar,Slightly familiar,Not at all familiar,Not at all familiar,Not at all familiar,Slightly familiar,,,Computational Fluid Dynamics,,,,,,,,No,,Probably yes,Agree,Disagree,Agree,Neutral,Disagree,Neutral,Neutral,Neutral,,Plan interventions,,,Study Pathophysiology,,Predict/compare therapeutic outcomes,,,Yes,Cardiovascular,,,,,,Fontan Operation  complex intracardiac anatomy,Less than 5,7,Successful post-hoc in silico clinical trials,Successful a priori in silico clinical trials,Personal positive experience,Regulatory approval,,Cardiology,Switzerland,Senior consultant,45-54,100,None,,,,,,,,Yes,Yes
12494353080,394364328,16/03/2021 06:48,16/03/2021 06:58,Not at all aware,,,,,Not at all aware,,,,,Not at all aware,,,,,Not at all aware,,,,,Not at all aware,,,,,Not at all aware,,,,,,,,,Mathematics,,Moderately familiar,Not at all familiar,Not at all familiar,Not at all familiar,Moderately familiar,Slightly familiar,Slightly familiar,Not at all familiar,,,,,,,,,None,,No,N/A,Not sure,Agree,Disagree,Neutral,Disagree,Neutral,Neutral,Agree,Agree,,Plan interventions,,,,,,,,Yes,Cardiovascular,,,,,,Stenting Coarctation  Occlusion of arterial duct,11-20 times,6,,,Personal positive experience,,,Cardiology,Sweden,Attending,65+,20,None,,,,,,,,No,No
