Headers,Question.ID,Question,respons levels
Respondent ID,NaN,NaN,NaN
Collector ID,NaN,NaN,NaN
Start Date,NaN,NaN,NaN
End Date,NaN,NaN,NaN
Please indicate your level of awareness with,Q1.1,Please indicate your level of awareness with,In silico medicine - Not at all aware
X,Q1.1,Please indicate your level of awareness with,In silico medicine - Slightly aware
X.1,Q1.1,Please indicate your level of awareness with,In silico medicine - Moderately aware
X.2,Q1.1,Please indicate your level of awareness with,In silico medicine - Very aware
X.3,Q1.1,Please indicate your level of awareness with,In silico medicine - Extremely aware
X.4,Q1.2,Please indicate your level of awareness with,Patient-specific modelling - Not at all aware
X.5,Q1.2,Please indicate your level of awareness with,Patient-specific modelling - Slightly aware
X.6,Q1.2,Please indicate your level of awareness with,Patient-specific modelling - Moderately aware
X.7,Q1.2,Please indicate your level of awareness with,Patient-specific modelling - Very aware
X.8,Q1.2,Please indicate your level of awareness with,Patient-specific modelling - Extremely aware
X.9,Q1.3,Please indicate your level of awareness with,In silico clinical trials - Not at all aware
X.10,Q1.3,Please indicate your level of awareness with,In silico clinical trials - Slightly aware
X.11,Q1.3,Please indicate your level of awareness with,In silico clinical trials - Moderately aware
X.12,Q1.3,Please indicate your level of awareness with,In silico clinical trials - Very aware
X.13,Q1.3,Please indicate your level of awareness with,In silico clinical trials - Extremely aware
X.14,Q1.4,Please indicate your level of awareness with,Virtual Physiological Human - Not at all aware
X.15,Q1.4,Please indicate your level of awareness with,Virtual Physiological Human - Slightly aware
X.16,Q1.4,Please indicate your level of awareness with,Virtual Physiological Human - Moderately aware
X.17,Q1.4,Please indicate your level of awareness with,Virtual Physiological Human - Very aware
X.18,Q1.4,Please indicate your level of awareness with,Virtual Physiological Human - Extremely aware
X.19,Q1.5,Please indicate your level of awareness with,Personalized medicine - Not at all aware
X.20,Q1.5,Please indicate your level of awareness with,Personalized medicine - Slightly aware
X.21,Q1.5,Please indicate your level of awareness with,Personalized medicine - Moderately aware
X.22,Q1.5,Please indicate your level of awareness with,Personalized medicine - Very aware
X.23,Q1.5,Please indicate your level of awareness with,Personalized medicine - Extremely aware
X.24,Q1.6,Please indicate your level of awareness with,Digital Twin - Not at all aware
X.25,Q1.6,Please indicate your level of awareness with,Digital Twin - Slightly aware
X.26,Q1.6,Please indicate your level of awareness with,Digital Twin - Moderately aware
X.27,Q1.6,Please indicate your level of awareness with,Digital Twin - Very aware
X.28,Q1.6,Please indicate your level of awareness with,Digital Twin - Extremely aware
Please specify the technical backgrounds included in your team (please select all that apply),Q2.1,Please specify the technical backgrounds included in your team (please select all that apply),Biomedical Engineering
X.29,Q2.2,Please specify the technical backgrounds included in your team (please select all that apply),Computer Science
X.30,Q2.3,Please specify the technical backgrounds included in your team (please select all that apply),Data Science
X.31,Q2.4,Please specify the technical backgrounds included in your team (please select all that apply),Statistics
X.32,Q2.5,Please specify the technical backgrounds included in your team (please select all that apply),Mathematics
X.33,Q2.6,Please specify the technical backgrounds included in your team (please select all that apply),Other (please specify)
Please indicate your level of familiarity with the following computer modelling and simulation methodologies:,Q3.1,Please indicate your level of familiarity with the following computer modelling and simulation methodologies:,Finite Element Analysis
X.34,Q3.2,Please indicate your level of familiarity with the following computer modelling and simulation methodologies:,Lumped-parameter models
X.35,Q3.3,Please indicate your level of familiarity with the following computer modelling and simulation methodologies:,Computational Fluid Dynamics
X.36,Q3.4,Please indicate your level of familiarity with the following computer modelling and simulation methodologies:,Fluid-structure interaction
